c1,c2,c2,b1,b2,lhAC,iw,nperiflw,nperfilw2,nperfilw3,zwGround,LFuselageLAPES,WFuselageLAPES,nCelulas,tauE,xCG_Acw,airfoilhIndex,Arh,motorIndex,infoBat,volumeBox,configBox,boxUse,batteryConsumption,Score
0.23,0.23,0.22,0.52,0.23,0.49,0.23,2.00,2.00,2.00,0.18,0.24,0.07,3.00,0.54,0.03,6.00,3.08,1.00,6.00,0.00,0.00,0.00,1846.55,0.00
0.23,0.23,0.19,0.62,0.49,0.61,2.79,2.00,2.00,2.00,0.17,0.24,0.07,3.00,0.53,0.26,8.00,3.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.23,0.23,0.20,0.63,0.47,0.61,3.35,2.00,2.00,2.00,0.17,0.24,0.07,3.00,0.58,0.24,7.00,3.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.23,0.23,0.21,0.61,0.41,0.59,0.73,2.00,2.00,2.00,0.15,0.24,0.07,3.00,0.52,0.14,5.00,3.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.23,0.22,0.22,0.64,0.43,0.64,2.39,2.00,2.00,2.00,0.16,0.24,0.07,3.00,0.54,0.04,7.00,4.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.22,0.19,0.64,0.36,0.57,2.33,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.51,0.20,7.00,3.20,1.00,6.00,0.00,0.00,0.00,1673.39,182.07
0.24,0.21,0.19,0.77,0.51,0.71,0.34,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.57,0.17,6.00,3.29,1.00,6.00,0.03,33.00,0.95,1912.94,184.66
0.24,0.22,0.19,0.78,0.50,0.71,2.00,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.51,0.19,8.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.21,0.21,0.19,0.68,0.49,0.66,3.61,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.53,0.22,8.00,3.32,1.00,6.00,0.03,33.00,0.94,1637.00,219.51
0.21,0.21,0.19,0.68,0.49,0.66,3.61,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.53,0.22,8.00,3.32,1.00,6.00,0.03,33.00,0.94,1637.00,219.51
0.24,0.21,0.18,0.73,0.49,0.67,3.83,2.00,2.00,2.00,0.18,0.24,0.07,3.00,0.55,0.25,5.00,3.32,1.00,6.00,0.03,33.00,0.99,1617.30,215.46
0.24,0.23,0.19,0.72,0.46,0.67,1.65,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.53,0.15,8.00,3.30,1.00,6.00,0.03,33.00,1.00,1752.14,214.79
0.24,0.24,0.22,0.75,0.44,0.67,0.97,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.56,0.21,7.00,3.31,1.00,6.00,0.03,33.00,1.00,1855.04,214.36
0.25,0.23,0.19,0.76,0.28,0.58,-0.05,1.00,1.00,1.00,0.19,0.23,0.07,3.00,0.52,0.21,7.00,3.61,1.00,0.00,0.00,0.00,0.00,0.00,20.00
0.24,0.21,0.19,0.78,0.48,0.71,3.16,1.00,1.00,1.00,0.19,0.24,0.07,3.00,0.56,0.20,3.00,4.05,1.00,6.00,0.03,33.00,0.99,1638.48,198.18
0.24,0.21,0.19,0.75,0.50,0.69,2.21,2.00,2.00,2.00,0.18,0.23,0.07,3.00,0.56,0.20,4.00,3.49,1.00,6.00,0.03,33.00,0.93,1678.81,189.61
0.24,0.21,0.19,0.73,0.43,0.65,4.21,2.00,2.00,2.00,0.18,0.24,0.07,3.00,0.57,0.21,7.00,3.34,1.00,6.00,0.03,33.00,0.99,1620.28,218.48
0.22,0.21,0.18,0.74,0.48,0.68,1.22,1.00,1.00,1.00,0.18,0.24,0.07,3.00,0.55,0.23,5.00,4.37,1.00,6.00,0.00,0.00,0.00,1713.39,187.29
0.24,0.23,0.19,0.77,0.32,0.62,1.23,2.00,2.00,2.00,0.18,0.24,0.07,3.00,0.59,0.19,6.00,3.63,1.00,6.00,0.00,0.00,0.00,1744.84,183.90
0.24,0.21,0.18,0.71,0.49,0.66,4.67,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.54,0.24,8.00,3.32,1.00,6.00,0.03,33.00,1.00,1630.40,225.92
0.23,0.23,0.18,0.84,0.54,0.76,0.81,2.00,2.00,2.00,0.19,0.25,0.07,3.00,0.59,0.23,7.00,3.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.25,0.20,0.19,0.73,0.37,0.61,3.92,2.00,2.00,2.00,0.17,0.24,0.07,3.00,0.53,0.24,8.00,3.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.21,0.20,0.19,0.76,0.50,0.71,0.28,1.00,1.00,1.00,0.19,0.23,0.07,3.00,0.57,0.17,7.00,3.29,1.00,6.00,0.03,33.00,0.97,1869.26,205.37
0.24,0.23,0.21,0.70,0.43,0.63,3.69,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.53,0.22,4.00,3.25,1.00,6.00,0.00,0.00,0.00,1619.54,193.07
